,Id,Peso,Altura,IMC,IDADE,PA SISTOLICA,PA DIASTOLICA
count,17873.0,17555.0,17873.0,13146.0,16377.0,10143.0,10133.0
mean,8937.0,21.1635203645685,83.86521568846864,17.806328921344896,6.011970446357697,101.31410825199644,62.30366130464818
std,5159.635016161511,18.06102118956785,56.58360998173403,12.071950246918405,7.827266355660094,15.510065850433707,8.885554722390443
min,1.0,-40.0,0.0,0.0,-113.18,10.0,6.0
25%,4469.0,6.6,36.0,15.0,2.18,90.0,60.0
50%,8937.0,18.0,99.0,17.0,5.64,100.0,60.0
75%,13405.0,31.0,130.0,19.0,9.97,110.0,70.0
max,17873.0,157.0,198.0,848.0,71.81,990.0,120.0
